player_name,age,position,club_involved,fee,transfer_period,year,season
Adolfo Gaich,21,Centre-Forward,CSKA Moscow,300000.0,Winter,2020,2020/2021
Fabio Depaoli,23,Right-Back,Sampdoria,0.0,Winter,2020,2020/2021
Lorenzo Del Pinto,30,Central Midfield,Reggiana,0.0,Winter,2020,2020/2021
Arturo Onda,19,Right-Back,Gelbison,0.0,Winter,2020,2020/2021
Christian Maggio,38,Right-Back,Lecce,0.0,Winter,2020,2020/2021
Francesco Rillo,20,Left-Back,Casertana,0.0,Winter,2020,2020/2021
Giovanni Volpicelli,21,Central Midfield,Paganese,0.0,Winter,2020,2020/2021
Pietro Iemmello,28,Centre-Forward,Frosinone,0.0,Winter,2020,2020/2021
Massimo Volta,33,Centre-Back,Pescara,0.0,Winter,2020,2020/2021
Andreaw Gravillon,19,Centre-Back,Inter,4000000.0,in,Summer,2017,2017/2018
Gianluca Di Chiara,23,Left-Back,Perugia,2800000.0,in,Summer,2017,2017/2018
Samuel Armenteros,27,Centre-Forward,Heracles Almelo,2000000.0,in,Summer,2017,2017/2018
Danilo Cataldi,22,Defensive Midfield,Lazio,2000000.0,in,Summer,2017,2017/2018
Gaetano Letizia,27,Right-Back,Carpi,1750000.0,in,Summer,2017,2017/2018
Vid Belec,27,Goalkeeper,Carpi,1750000.0,in,Summer,2017,2017/2018
Massimo Coda,28,Centre-Forward,Salernitana,1700000.0,in,Summer,2017,2017/2018
Andrea Costa,31,Centre-Back,Empoli,1500000.0,in,Summer,2017,2017/2018
Raman Chibsah,24,Central Midfield,Sassuolo,1000000.0,in,Summer,2017,2017/2018
Pietro Iemmello,25,Centre-Forward,Sassuolo,1000000.0,in,Summer,2017,2017/2018
Vittorio Parigini,21,Right Winger,Torino,500000.0,in,Summer,2017,2017/2018
Bright Gyamfi,21,Right-Back,Inter,280000.0,in,Summer,2017,2017/2018
Ledian Memushaj,30,Central Midfield,Pescara,200000.0,in,Summer,2017,2017/2018
Alberto Brignoli,25,Goalkeeper,Juventus,200000.0,in,Summer,2017,2017/2018
Francesco Maggio,17,attack,Due Torri,0.0,in,Summer,2017,2017/2018
Berat Djimsiti,24,Centre-Back,Atalanta BC,0.0,in,Summer,2017,2017/2018
Cristiano Lombardi,22,Right Winger,Lazio,0.0,in,Summer,2017,2017/2018
Achraf Lazaar,25,Left-Back,Newcastle,0.0,in,Summer,2017,2017/2018
Luca Antei,25,Centre-Back,Sassuolo,0.0,in,Summer,2017,2017/2018
Marco D'Alessandro,26,Right Winger,Atalanta BC,0.0,in,Summer,2017,2017/2018
Karamoko Cissé,28,Centre-Forward,Bari,200000.0,out,Summer,2017,2017/2018
Emanuele Padella,28,Centre-Back,Ascoli,0.0,out,Summer,2017,2017/2018
Wálter López,31,Left-Back,Spezia Calcio,0.0,out,Summer,2017,2017/2018
Daniele Buzzegoli,34,Defensive Midfield,Ascoli,0.0,out,Summer,2017,2017/2018
Enrico Pezzi,27,Left-Back,Cittadella,0.0,out,Summer,2017,2017/2018
Daniel Kofi Agyei,25,Defensive Midfield,Carrarese,0.0,out,Summer,2017,2017/2018
Loreto Perfetto,20,Right Winger,Virtus Volla,0.0,out,Summer,2017,2017/2018
Omar Joof,19,Central Midfield,Manfredonia,0.0,out,Summer,2017,2017/2018
Andrea De Falco,31,Central Midfield,Matera,0.0,out,Summer,2017,2017/2018
Mirko Eramo,28,Central Midfield,Virtus Entella,0.0,out,Summer,2017,2017/2018
Fabio Ceravolo,30,Centre-Forward,Parma,0.0,out,Summer,2017,2017/2018
Michele Camporese,25,Centre-Back,Foggia,0.0,out,Summer,2017,2017/2018
Pier Graziano Gori,37,Goalkeeper,Without Club,0.0,out,Summer,2017,2017/2018
Nikola Jakimovski,27,Left Midfield,Without Club,0.0,out,Summer,2017,2017/2018
Marko Pajac,24,Left-Back,Cagliari Calcio,0.0,out,Summer,2017,2017/2018
Fabrizio Alastra,19,Goalkeeper,US Palermo,0.0,out,Summer,2017,2017/2018
Antonio Matera,20,Central Midfield,Andria,0.0,out,Summer,2017,2017/2018
Ricardo Bagadur,21,Centre-Back,Fiorentina,0.0,out,Summer,2017,2017/2018
Raman Chibsah,24,Central Midfield,Sassuolo,0.0,out,Summer,2017,2017/2018
Bright Gyamfi,21,Right-Back,Inter,0.0,out,Summer,2017,2017/2018
Alessio Cragno,23,Goalkeeper,Cagliari Calcio,0.0,out,Summer,2017,2017/2018
Filippo Falco,25,Right Winger,Bologna,0.0,out,Summer,2017,2017/2018
Jean-Claude Billong,24,Centre-Back,NK Maribor,2100000.0,in,Winter,2017,2017/2018
Cheick Diabaté,29,Centre-Forward,Osmanlispor,200000.0,in,Winter,2017,2017/2018
Alin Tosca,25,Centre-Back,Real Betis,100000.0,in,Winter,2017,2017/2018
Guilherme,26,Attacking Midfield,Legia Warszawa,0.0,in,Winter,2017,2017/2018
Christian Puggioni,37,Goalkeeper,Sampdoria,0.0,in,Winter,2017,2017/2018
Sandro,28,Defensive Midfield,Antalyaspor,0.0,in,Winter,2017,2017/2018
Filip Djuričić,25,Attacking Midfield,Sampdoria,0.0,in,Winter,2017,2017/2018
Enrico Brignola,18,Second Striker,Benevento U19,0.0,in,Winter,2017,2017/2018
Christian Rutjens,20,Centre-Back,Without Club,0.0,in,Winter,2017,2017/2018
Nii Nortey Ashong,23,Left-Back,Without Club,0.0,in,Winter,2017,2017/2018
Bacary Sagna,34,Right-Back,Without Club,0.0,in,Winter,2017,2017/2018
Andreaw Gravillon,19,Centre-Back,Pescara,3500000.0,out,Winter,2017,2017/2018
Amato Ciciretti,24,Right Winger,Parma,280000.0,out,Winter,2017,2017/2018
Fabrizio Melara,31,Right Midfield,Juve Stabia,0.0,out,Winter,2017,2017/2018
Nii Nortey Ashong,23,Left-Back,Sliema Wander.,0.0,out,Winter,2017,2017/2018
Mamadou Kanoute,24,Right Winger,Pro Vercelli,0.0,out,Winter,2017,2017/2018
Samuel Armenteros,27,Centre-Forward,Portland,0.0,out,Winter,2017,2017/2018
Gianluca Di Chiara,24,Left-Back,Carpi,0.0,out,Winter,2017,2017/2018
Vid Belec,27,Goalkeeper,Sampdoria,0.0,out,Winter,2017,2017/2018
Salvatore Tazza,20,Right-Back,Paganese,0.0,out,Winter,2017,2017/2018
Raman Chibsah,24,Central Midfield,Frosinone,0.0,out,Winter,2017,2017/2018
Antonio Cotticelli,20,Goalkeeper,Sliema Wander.,0.0,out,Winter,2017,2017/2018
George Puscas,21,Centre-Forward,Inter,0.0,out,Winter,2017,2017/2018
Gianluca Lapadula,30,Centre-Forward,Genoa,4000000.0,in,Summer,2020,2020/2021
Kamil Glik,32,Centre-Back,Monaco,3000000.0,in,Summer,2020,2020/2021
Artur Ionita,30,Central Midfield,Cagliari Calcio,1500000.0,in,Summer,2020,2020/2021
Gianluca Caprari,27,Second Striker,Sampdoria,1300000.0,in,Summer,2020,2020/2021
Daam Foulon,21,Left-Back,Waasl.-Beveren,500000.0,in,Summer,2020,2020/2021
Bryan Dabo,28,Central Midfield,Fiorentina,500000.0,in,Summer,2020,2020/2021
Iago Falque,30,Right Winger,Torino,500000.0,in,Summer,2020,2020/2021
Federico Barba,27,Centre-Back,Chievo Verona,0.0,in,Summer,2020,2020/2021
Davide Masella,18,Attacking Midfield,Benevento U19,0.0,in,Summer,2020,2020/2021
Gianluca Di Chiara,26,Left-Back,Perugia,1000000.0,out,Summer,2020,2020/2021
Alessio Donnarumma,22,Central Midfield,Nocerina,0.0,out,Summer,2020,2020/2021
Bright Gyamfi,24,Right-Back,Reggiana,0.0,out,Summer,2020,2020/2021
Massimo Coda,31,Centre-Forward,Lecce,0.0,out,Summer,2020,2020/2021
Samuel Armenteros,30,Centre-Forward,Fujairah SC,0.0,out,Summer,2020,2020/2021
Salvatore Tazza,22,Right-Back,Cavese,0.0,out,Summer,2020,2020/2021
Yacine Nembot,20,Central Midfield,Puteolana,0.0,out,Summer,2020,2020/2021
Oliver Kragl,30,Left Midfield,Ascoli,0.0,out,Summer,2020,2020/2021
Cy Goddard,23,Left Winger,Mumbai City,0.0,out,Summer,2020,2020/2021
Francesco Rillo,20,Left-Back,AJ Fano,0.0,out,Summer,2020,2020/2021
Luca Antei,28,Centre-Back,Pescara,0.0,out,Summer,2020,2020/2021
Dejan Vokić,24,Attacking Midfield,Pescara,0.0,out,Summer,2020,2020/2021
Giovanni Volpicelli,21,Central Midfield,Juve Stabia,0.0,out,Summer,2020,2020/2021
Jean-Claude Billong,26,Centre-Back,Hatayspor,0.0,out,Summer,2020,2020/2021
Pietro Iemmello,28,Centre-Forward,UD Las Palmas,0.0,out,Summer,2020,2020/2021
Federico Barba,26,Centre-Back,Chievo Verona,0.0,out,Summer,2020,2020/2021
Adolfo Gaich,21,Centre-Forward,CSKA Moscow,300000.0,in,Winter,2020,2020/2021
Fabio Depaoli,23,Right-Back,Sampdoria,0.0,in,Winter,2020,2020/2021
Lorenzo Del Pinto,30,Central Midfield,Reggiana,0.0,out,Winter,2020,2020/2021
Arturo Onda,19,Right-Back,Gelbison,0.0,out,Winter,2020,2020/2021
Christian Maggio,38,Right-Back,Lecce,0.0,out,Winter,2020,2020/2021
Francesco Rillo,20,Left-Back,Casertana,0.0,out,Winter,2020,2020/2021
Giovanni Volpicelli,21,Central Midfield,Paganese,0.0,out,Winter,2020,2020/2021
Pietro Iemmello,28,Centre-Forward,Frosinone,0.0,out,Winter,2020,2020/2021
Massimo Volta,33,Centre-Back,Pescara,0.0,out,Winter,2020,2020/2021
